iter	Passed	Remaining
0	24	24612
1	43	21532
2	62	20858
3	86	21617
4	112	22416
5	137	22753
6	155	22010
7	174	21698
8	195	21574
9	219	21682
10	238	21419
11	263	21706
12	282	21431
13	302	21289
14	333	21875
15	373	22998
16	392	22684
17	414	22636
18	433	22394
19	450	22058
20	493	22997
21	512	22770
22	544	23147
23	568	23116
24	595	23234
25	618	23161
26	638	23018
27	659	22888
28	690	23110
29	707	22890
30	727	22724
31	746	22595
32	784	22979
33	812	23091
34	841	23189
35	861	23079
36	884	23010
37	903	22861
38	922	22722
39	946	22717
40	971	22724
41	990	22595
42	1017	22642
43	1046	22741
44	1066	22629
45	1090	22613
46	1116	22647
47	1146	22733
48	1167	22661
49	1194	22703
50	1215	22624
51	1241	22642
52	1262	22556
53	1284	22497
54	1313	22570
55	1331	22452
56	1356	22437
57	1396	22683
58	1416	22598
59	1437	22517
60	1454	22394
61	1472	22271
62	1490	22172
63	1508	22055
64	1526	21958
65	1550	21943
66	1568	21839
67	1586	21741
68	1603	21638
69	1622	21558
70	1650	21596
71	1676	21603
72	1713	21757
73	1746	21849
74	1763	21751
75	1782	21674
76	1814	21755
77	1835	21697
78	1857	21654
79	1885	21682
80	1921	21797
81	1937	21693
82	1955	21609
83	1974	21533
84	2000	21529
85	2020	21471
86	2039	21404
87	2058	21328
88	2075	21247
89	2097	21210
90	2124	21218
91	2144	21166
92	2168	21147
93	2192	21136
94	2219	21142
95	2236	21061
96	2266	21098
97	2283	21018
98	2302	20950
99	2322	20900
100	2341	20840
101	2361	20789
102	2381	20742
103	2403	20708
104	2442	20819
105	2470	20835
106	2498	20852
107	2516	20781
108	2540	20769
109	2557	20695
110	2586	20711
111	2614	20731
112	2635	20687
113	2654	20626
114	2673	20575
115	2691	20510
116	2708	20439
117	2724	20368
118	2745	20326
119	2764	20276
120	2782	20209
121	2802	20167
122	2824	20136
123	2844	20094
124	2886	20203
125	2906	20158
126	2929	20134
127	2952	20115
128	2977	20103
129	3007	20125
130	3027	20082
131	3045	20027
132	3062	19965
133	3089	19965
134	3111	19935
135	3130	19886
136	3146	19823
137	3173	19822
138	3192	19772
139	3241	19912
140	3260	19864
141	3279	19817
142	3304	19803
143	3333	19818
144	3352	19770
145	3378	19762
146	3400	19732
147	3419	19684
148	3446	19682
149	3464	19633
150	3487	19610
151	3506	19565
152	3541	19603
153	3560	19562
154	3579	19516
155	3600	19479
156	3619	19437
157	3648	19445
158	3668	19405
159	3688	19364
160	3710	19335
161	3735	19322
162	3752	19270
163	3777	19255
164	3794	19203
165	3813	19157
166	3831	19113
167	3851	19075
168	3877	19068
169	3894	19014
170	3924	19024
171	3943	18981
172	3960	18934
173	3984	18916
174	4001	18865
175	4029	18865
176	4058	18871
177	4079	18836
178	4105	18829
179	4139	18859
180	4156	18808
181	4173	18758
182	4200	18751
183	4237	18794
184	4254	18743
185	4273	18703
186	4321	18789
187	4347	18776
188	4370	18752
189	4389	18713
190	4410	18679
191	4431	18648
192	4450	18609
193	4490	18656
194	4508	18613
195	4539	18621
196	4557	18577
197	4576	18535
198	4594	18492
199	4611	18447
200	4641	18450
201	4659	18407
202	4676	18358
203	4703	18353
204	4719	18302
205	4735	18254
206	4754	18214
207	4770	18164
208	4787	18121
209	4807	18083
210	4828	18054
211	4847	18017
212	4866	17979
213	4883	17938
214	4902	17898
215	4920	17858
216	4938	17820
217	4957	17784
218	4975	17744
219	5005	17746
220	5024	17712
221	5044	17677
222	5062	17639
223	5081	17603
224	5099	17566
225	5120	17537
226	5152	17545
227	5173	17516
228	5190	17475
229	5209	17440
230	5236	17433
231	5257	17404
232	5278	17376
233	5306	17371
234	5323	17329
235	5340	17290
236	5359	17254
237	5376	17213
238	5401	17199
239	5419	17160
240	5438	17126
241	5455	17088
242	5474	17053
243	5492	17016
244	5509	16978
245	5533	16959
246	5551	16924
247	5569	16888
248	5588	16854
249	5606	16818
250	5627	16792
251	5653	16781
252	5674	16755
253	5708	16765
254	5736	16760
255	5759	16739
256	5775	16697
257	5792	16660
258	5808	16619
259	5831	16597
260	5850	16565
261	5866	16523
262	5888	16499
263	5904	16459
264	5920	16420
265	5941	16395
266	5959	16360
267	5975	16321
268	5993	16285
269	6010	16250
270	6026	16212
271	6043	16175
272	6065	16152
273	6082	16117
274	6098	16078
275	6118	16050
276	6141	16030
277	6158	15994
278	6174	15955
279	6192	15924
280	6209	15888
281	6228	15858
282	6248	15830
283	6265	15795
284	6282	15762
285	6300	15729
286	6321	15704
287	6338	15671
288	6355	15637
289	6374	15606
290	6392	15575
291	6417	15559
292	6438	15536
293	6461	15516
294	6477	15479
295	6502	15465
296	6518	15428
297	6533	15391
298	6553	15365
299	6582	15358
300	6600	15329
301	6619	15298
302	6636	15265
303	6653	15232
304	6671	15201
305	6686	15165
306	6704	15133
307	6721	15101
308	6740	15073
309	6758	15042
310	6774	15008
311	6790	14974
312	6807	14942
313	6824	14909
314	6845	14885
315	6863	14856
316	6879	14822
317	6897	14791
318	6915	14764
319	6932	14731
320	6949	14699
321	6970	14677
322	6987	14645
323	7004	14615
324	7021	14583
325	7039	14554
326	7061	14532
327	7079	14505
328	7100	14482
329	7122	14460
330	7149	14451
331	7177	14442
332	7196	14414
333	7213	14383
334	7231	14354
335	7250	14328
336	7268	14300
337	7288	14275
338	7313	14260
339	7335	14238
340	7365	14235
341	7387	14212
342	7404	14183
343	7424	14158
344	7442	14130
345	7460	14100
346	7496	14106
347	7514	14078
348	7531	14048
349	7550	14022
350	7570	13997
351	7589	13971
352	7606	13942
353	7639	13940
354	7657	13912
355	7678	13890
356	7700	13869
357	7719	13844
358	7737	13816
359	7757	13791
360	7775	13764
361	7793	13735
362	7811	13707
363	7827	13677
364	7852	13661
365	7870	13633
366	7888	13605
367	7905	13577
368	7922	13547
369	7939	13518
370	7963	13500
371	7983	13477
372	7999	13447
373	8017	13419
374	8035	13392
375	8052	13363
376	8068	13333
377	8085	13304
378	8103	13278
379	8119	13247
380	8137	13220
381	8153	13191
382	8170	13162
383	8197	13149
384	8216	13124
385	8233	13097
386	8250	13068
387	8266	13039
388	8284	13012
389	8299	12981
390	8316	12953
391	8335	12928
392	8367	12923
393	8392	12908
394	8420	12896
395	8438	12870
396	8455	12842
397	8472	12814
398	8489	12787
399	8507	12761
400	8525	12734
401	8541	12706
402	8559	12679
403	8577	12653
404	8595	12627
405	8616	12606
406	8639	12588
407	8656	12560
408	8681	12544
409	8701	12521
410	8727	12506
411	8746	12482
412	8762	12454
413	8779	12426
414	8796	12399
415	8813	12372
416	8831	12347
417	8848	12320
418	8866	12294
419	8887	12273
420	8904	12246
421	8923	12221
422	8942	12198
423	8959	12171
424	8980	12150
425	8997	12123
426	9016	12099
427	9034	12073
428	9051	12047
429	9070	12024
430	9089	11999
431	9104	11971
432	9121	11944
433	9139	11919
434	9156	11892
435	9174	11867
436	9192	11842
437	9209	11816
438	9228	11792
439	9245	11767
440	9269	11749
441	9288	11726
442	9305	11700
443	9323	11675
444	9340	11649
445	9358	11624
446	9379	11603
447	9398	11579
448	9413	11552
449	9431	11527
450	9457	11512
451	9475	11488
452	9494	11464
453	9513	11440
454	9532	11417
455	9566	11412
456	9593	11399
457	9611	11374
458	9630	11350
459	9647	11325
460	9664	11299
461	9681	11274
462	9699	11250
463	9717	11225
464	9734	11199
465	9751	11174
466	9772	11153
467	9798	11138
468	9815	11113
469	9834	11090
470	9852	11065
471	9868	11039
472	9894	11024
473	9911	10998
474	9928	10973
475	9947	10950
476	9965	10926
477	9982	10901
478	10003	10880
479	10021	10856
480	10038	10831
481	10056	10807
482	10072	10781
483	10090	10757
484	10107	10732
485	10123	10707
486	10141	10683
487	10158	10657
488	10181	10639
489	10199	10615
490	10217	10591
491	10234	10567
492	10251	10542
493	10270	10519
494	10286	10494
495	10304	10471
496	10324	10448
497	10342	10425
498	10369	10411
499	10386	10386
500	10403	10361
501	10418	10335
502	10440	10315
503	10456	10290
504	10474	10267
505	10493	10244
506	10515	10224
507	10532	10201
508	10549	10176
509	10565	10151
510	10583	10127
511	10602	10105
512	10620	10081
513	10637	10058
514	10656	10035
515	10680	10018
516	10697	9994
517	10713	9968
518	10730	9945
519	10749	9922
520	10765	9897
521	10784	9875
522	10801	9851
523	10820	9829
524	10836	9804
525	10856	9783
526	10873	9759
527	10890	9735
528	10908	9712
529	10925	9688
530	10941	9663
531	10957	9639
532	10974	9615
533	10991	9592
534	11009	9568
535	11028	9546
536	11045	9523
537	11068	9504
538	11094	9488
539	11111	9465
540	11135	9447
541	11157	9428
542	11176	9406
543	11194	9383
544	11215	9363
545	11232	9339
546	11251	9318
547	11269	9295
548	11287	9272
549	11305	9249
